Chl-a,WT,pH,EC,DO,BOD,COD,SS,TN,TP,TOC,DOC,NH3-N,NO3-N,PO4-P,BODTOC ratio,A250_A365,A254_A436,A254,S275-295,S350-400,SR,UV254,SUVA,BP,BP-N,BP CN ratio,HS,HS-N,HS CN ratio,Aromaticity,Molecularity,BB,LMWA,LMWN
22,13.3,8.4,354,11.1,2.4,6,12.5,4.302,0.135,4.555,3.419,0.17,3.484,0.038,0.5,5.18,9.31,0.016,0.0151,0.0118,1.279,0.065,1.9,157,28,0.18,1177,71,0.06,1.55,377,391,0,665
26.6,14.1,8.3,325,10.1,2.8,6.6,12.4,3.621,0.111,3.84,3.255,0.161,2.632,0.023,0.7,4.56,9.28,0.024,0.0159,0.0118,1.352,0.095,2.93,214,33,0.16,1287,72,0.06,1.65,375,474,0,686
46.5,14.3,8.5,253,10.5,3.2,6.4,25.6,2.862,0.126,4.316,2.849,0.024,1.968,0.004,0.7,4.68,8.7,0.017,0.0151,0.0114,1.325,0.069,2.41,86,20,0.24,546,36,0.07,1.97,382,167,0,284
31.2,15.7,8.6,253,10.7,2.6,6,19.4,3.06,0.129,4.448,3.386,0.093,2.03,0.006,0.6,6.17,13.62,0.014,0.0173,0.0148,1.168,0.056,1.64,171,35,0.2,1106,61,0.05,2.13,439,403,0,698
11.2,17.1,8.2,262,9.3,2.6,7.1,24.8,3.981,0.192,5.564,4.372,0.394,2.449,0.085,0.5,6.58,19.61,0.027,0.0185,0.0175,1.056,0.108,2.48,192,34,0.18,1705,128,0.07,2.38,433,575,0,817
17.2,20.1,8.3,281,8.9,2.5,7.1,21.7,2.538,0.192,5.318,4.188,0.097,1.744,0.031,0.5,5.71,12.51,0.018,0.0166,0.0137,1.21,0.091,2.18,179,44,0.25,1494,126,0.08,2.07,400,529,0,796
10,23.5,8,283,7.7,3.6,13.2,34,4.158,0.318,8.132,7.861,0.499,2.389,0.061,0.4,5.34,13.9,0.044,0.0155,0.0156,0.99,0.219,2.78,551,94,0.17,3542,268,0.08,2.36,485,982,0,1711
15.9,20.9,8.4,255,8.5,1.4,5.9,27.2,2.1,0.12,4.146,2.99,0.035,1.668,0.037,0.3,8.14,44.72,0.013,0.0187,0.0226,0.826,0.065,2.17,83,16,0.2,1204,109,0.09,2.85,212,929,1,385
17.8,23.1,8.3,257,8,2.3,7.6,68,3.145,0.365,8.646,5.136,0.151,1.997,0.107,0.3,5.96,15.81,0.019,0.0164,0.0169,0.97,0.097,1.89,101,9,0.09,1613,91,0.06,3.06,210,1146,31,544
14.6,24.2,8.3,260,7.8,1.4,5.2,23.8,2.585,0.14,3.856,2.934,0.035,1.383,0.033,0.4,6.83,21.45,0.013,0.0184,0.0176,1.047,0.067,2.27,65,17,0.27,1106,86,0.08,2.78,211,951,44,403
10.6,28.6,8.1,259,7.4,2.1,10.2,59.2,2.664,0.429,7.84,5.551,0.134,1.641,0.188,0.3,6.19,54.56,0.039,0.0154,0.0236,0.651,0.194,3.49,123,112,0.9,2091,175,0.08,2.88,246,2334,151,529
16.2,29.1,8.3,344,8,1.5,6.6,31.3,2.427,0.231,5.414,3.844,0.022,1.659,0.084,0.3,6.92,32.22,0.023,0.017,0.0218,0.782,0.116,3.02,46,7,0.15,1464,122,0.08,3.18,242,1505,24,434
5.6,23,7.8,126,7.3,2.5,10.9,163.3,3.63,0.735,7.954,4.816,0.363,1.964,0.304,0.3,3.76,8.75,0.045,0.0116,0.0132,0.878,0.227,4.7,71,11,0.16,1805,135,0.08,4.22,239,1353,7,422
5.3,26.2,8,268,7.7,0.8,5.8,26.8,4.713,0.273,4.901,3.999,0.055,3.809,0.18,0.2,6.38,24.7,0.022,0.0153,0.0193,0.793,0.111,2.78,31,34,1.11,1411,159,0.11,4.14,205,1437,12,412
47.6,28.3,8,225,7,4.1,8.6,113.3,3.942,0.522,5.543,4.086,0.298,2.708,0.149,0.7,4.63,11.3,0.025,0.014,0.0139,1.007,0.127,3.11,58,14,0.24,1396,79,0.06,3.39,205,1244,7,526
26.9,28.8,8.3,298,9.5,2,6.6,10.1,2.15,0.136,4.223,3.163,0.001,1.726,0.07,0.5,5.43,14.22,0.02,0.0157,0.0153,1.024,0.099,3.12,61,17,0.29,1050,63,0.06,3.72,231,1141,21,296
17.3,29.1,8.6,253,9.2,1.6,4.9,11.6,3.201,0.147,3.701,3.272,0.012,2.557,0.085,0.4,3.12,5.09,0.028,0.0114,0.0087,1.309,0.14,4.29,46,2,0.04,1153,74,0.06,3.35,181,882,40,321
4,24.1,8.1,309,7.8,0.7,5,20.2,4.749,0.237,3.868,3.295,0.06,4.032,0.154,0.2,7.78,47.78,0.018,0.0156,0.0229,0.684,0.088,2.68,12,34,2.96,1327,116,0.09,5.38,654,1004,17,3786
11.1,25.1,8.3,242,8.1,0.9,4.9,23.7,3.621,0.204,3.481,2.87,0.028,2.995,0.103,0.3,6.87,27.82,0.04,0.0155,0.0205,0.758,0.08,2.79,30,4,0.13,1362,88,0.06,3.69,745,758,0,605
18.1,24.7,8.4,292,8,1.5,4.3,15.5,3.777,0.138,3.258,3.104,0.024,2.958,0.06,0.5,7.98,43.3,0.031,0.0166,0.0229,0.724,0.061,1.98,30,9,0.29,1038,77,0.07,4.11,783,728,1,572
4.8,24.6,8,307,8,0.8,5.1,26,4.725,0.261,4.411,4.32,0.044,3.738,0.156,0.2,6.6,25.75,0.05,0.0151,0.0202,0.748,0.1,2.32,34,6,0.16,1533,122,0.08,4.37,786,1088,59,828
5.5,18.2,8.4,343,10.3,0.7,4.1,9.7,6.27,0.141,3.039,2.881,0.032,5.49,0.011,0.2,6.81,21.38,0.034,0.0141,0.0185,0.76,0.068,2.35,25,3,0.11,946,81,0.09,3.97,790,839,0,555
4.2,16,8.4,345,10.7,0.7,3.9,3.4,6.267,0.12,2.902,2.695,0.044,5.336,0.084,0.2,6.39,16.17,0.015,0.0138,0.0191,0.722,0.061,2.28,35,4,0.12,974,83,0.08,3.84,790,898,0,755
5.1,14.6,8.4,349,10.7,0.7,3.8,5.9,6.369,0.129,2.919,2.642,0.056,4.628,0.083,0.2,7.27,25.12,0.015,0.0142,0.0196,0.725,0.059,2.24,39,6,0.15,946,93,0.1,4.2,810,978,5,616
10.4,14.6,7.5,411,10.3,1,4,10.6,6.327,0.123,2.9,2.845,0.04,5.072,0.076,0.3,3.82,5.85,0.017,0.0105,0.0093,1.133,0.069,2.42,45,7,0.16,1047,82,0.08,3.28,742,800,0,616
3.6,11.2,7.5,377,11.4,1.1,5.8,9.6,5.025,0.177,4.343,3.851,0.092,4.106,0.107,0.3,4.77,12.22,0.022,0.0089,0.0161,0.549,0.089,2.32,90,14,0.15,1441,123,0.09,3.86,792,1214,20,938
2,7,7.5,422,13.2,0.7,4.1,4.3,6.681,0.093,2.524,2.345,0.11,5.71,0.06,0.3,4.92,10.57,0.01,0.002,0.0154,0.131,0.038,1.64,16,4,0.27,835,56,0.07,3.65,616,691,0,627
6.2,7.1,7.7,426,13.4,1,4.1,8.1,6.75,0.12,2.842,2.441,0.049,5.84,0.034,0.4,8.4,42.88,0.026,0.0143,0.0238,0.603,0.051,2.11,56,8,0.15,875,70,0.08,3.26,749,721,0,572
3.6,6.6,7.7,472,13.4,1,4.2,4.1,7.866,0.078,2.69,2.519,0.177,6.578,0.029,0.4,4.99,14.95,0.009,0.0139,0.0282,0.491,0.017,0.68,29,5,0.16,838,52,0.06,3.38,629,706,0,621
3.1,4.6,7.6,452,14.1,1,3.9,7.2,7.362,0.075,2.3,2.189,0.104,6.29,0.02,0.4,8.41,45.98,0.025,0.0162,0.0232,0.698,0.05,2.27,54,12,0.23,764,65,0.08,2.78,754,679,0,730
20.6,8.3,7.5,408,11.4,5.2,7.8,64.5,6.89,0.38,5.247,3.941,0.653,4.476,0.114,1,5.08,13.02,0.051,0.0136,0.0154,0.881,0.101,2.56,82,16,0.19,1360,106,0.08,3.68,653,998,10,905
1.7,3.7,7.7,390,12.8,0.8,3.9,7.2,7.8,0.145,2.799,2.405,0.238,6.108,0.083,0.3,6.91,20.45,0.032,0.0189,0.0178,1.062,0.064,2.67,25,4,0.16,830,75,0.09,3.72,786,852,0,730
2.7,1.8,7.7,625,15.4,1.2,3.9,5.4,8.382,0.111,2.994,2.537,0.682,6.212,0.054,0.4,8.52,36.98,0.023,0.0138,0.0224,0.615,0.045,1.78,66,11,0.17,785,72,0.09,3,784,763,0,738
3.6,3.7,7.7,408,13.5,0.8,3.3,11.1,8.605,0.145,2.943,2.153,0.547,5.756,0.049,0.3,7.32,26.73,0.02,0.0125,0.0199,0.63,0.039,1.81,50,9,0.17,700,55,0.08,2.73,760,646,0,526
5.8,4.4,7.6,648,12.5,1.7,5.2,11.2,8.28,0.14,3.684,3.268,0.65,5.91,0.063,0.5,5.67,13.67,0.033,0.0132,0.0155,0.849,0.066,2.01,98,47,0.48,957,111,0.12,3.53,845,923,0,925
2.9,7.7,7.4,564,11.6,8.8,5.9,4.4,8.025,0.13,3.12,2.583,0.14,6.324,0.01,2.8,6.94,21.9,0.026,0.0153,0.0195,0.783,0.052,2.02,124,26,0.21,810,77,0.1,2.96,846,777,0,729
1.9,7,7.5,387,12.6,1.3,5.5,14.6,7.293,0.186,3.828,3.253,0.296,6.072,0.093,0.3,5.92,18.27,0.039,0.0135,0.0176,0.764,0.079,2.42,122,24,0.2,1204,92,0.08,3.96,630,1039,0,729
4.5,7,7.6,394,12.5,0.8,4.3,17,8.343,0.159,2.557,2.519,0.343,6.414,0.053,0.3,4.86,11.96,0.034,0.0121,0.0144,0.835,0.069,2.73,86,21,0.25,881,68,0.08,3.36,613,782,0,636
1.4,6.8,7.8,411,13.3,1.5,4.1,8.2,7.506,0.105,2.992,2.426,0.302,5.334,0.043,0.5,5.12,13.96,0.035,0.013,0.0152,0.856,0.069,2.85,82,21,0.26,794,74,0.09,3.43,659,763,0,654
3.8,8.3,8,461,12.8,1.5,4.9,9,7.446,0.093,3.661,2.921,0.361,6.348,0.042,0.4,4.3,8.18,0.041,0.0125,0.0056,2.245,0.082,2.82,126,25,0.2,971,83,0.09,3.14,641,850,0,801
9.8,11.1,7.6,303,11.4,3.9,8.3,36.3,5.484,0.303,5.625,4.264,0.574,3.83,0.108,0.7,5.33,12.12,0.069,0.0165,0.0129,1.275,0.139,3.26,175,38,0.21,1547,139,0.09,3.78,892,1282,62,962
14.3,14,7.5,389,9.6,2.4,5.7,38,5.706,0.183,3.916,3.092,0.323,4.434,0.035,0.6,4.43,9.02,0.04,0.0129,0.0105,1.23,0.08,2.58,115,30,0.26,1021,97,0.09,3.51,839,867,0,809
10,16.4,7.7,426,10.4,2,5.6,12.2,4.923,0.12,3.622,3.559,0.236,4.092,0.05,0.6,5.12,12.7,0.034,0.0139,0.0152,0.913,0.068,1.91,195,47,0.24,1147,93,0.08,3.83,806,803,0,793
8.8,15.7,7.7,294,10.4,3.5,7.8,31.3,4.137,0.225,5.106,3.977,0.296,2.91,0.084,0.7,5.3,13.58,0.05,0.0144,0.0154,0.931,0.101,2.53,285,43,0.15,1883,121,0.06,3.56,845,1088,0,842
27.1,16.3,7.6,294,9.7,3.6,8.4,66.5,3.455,0.315,4.939,4.297,0.247,2.418,0.087,0.7,5.68,16.92,0.044,0.0156,0.0169,0.921,0.089,2.06,251,32,0.13,1603,103,0.06,3.7,846,1018,0,834
8.6,14.1,7.7,541,9.7,1.6,6.5,11,5.826,0.166,4.368,4.098,0.333,2.281,0.097,0.4,5.62,10.08,0.028,0.0178,0.0111,1.601,0.11,2.7,185,31,0.17,1424,76,0.05,1.73,375,468,0,853
5.6,20.3,7.6,486,9.1,1.5,5.8,7.2,4.434,0.129,3.925,3.552,3.396,0.202,0.051,0.4,4.9,8.99,0.029,0.0182,0.0108,1.681,0.117,3.28,153,26,0.17,1237,69,0.06,1.67,362,510,0,655
34,15.3,7.7,388,10.1,2.9,7.3,13.2,3.48,0.123,4.868,3.761,0.025,2.236,0.016,0.6,4.35,8.13,0.022,0.0142,0.0117,1.215,0.089,2.38,102,22,0.22,700,44,0.06,2.02,396,262,0,392
24.7,21.8,7.8,368,10.4,3.2,6.9,14,3.882,0.201,5.613,4.153,0.025,2.236,0.043,0.6,7.5,20.75,0.018,0.0175,0.0179,0.977,0.072,1.74,236,35,0.15,1467,100,0.07,2.06,434,560,0,810
5,20,7.6,430,7.2,2.1,10.4,29.8,4.8,0.246,7.03,6.009,0.719,2.921,0.137,0.3,6.38,20.31,0.038,0.0168,0.0184,0.914,0.153,2.54,271,62,0.23,2732,207,0.08,2.01,389,790,0,1220
23.3,23.2,7.6,412,5.1,3.5,11.3,35.7,4.07,0.27,8.331,7.015,0.515,2.676,0.108,0.4,5.44,12.9,0.035,0.016,0.0143,1.117,0.173,2.46,273,52,0.19,2701,211,0.08,2.06,394,1009,0,1495
8.9,24.6,7.7,363,6.8,3.1,11.2,81,4.02,0.515,7.401,6.089,0.318,2.327,0.191,0.4,5.15,12.77,0.036,0.0151,0.0149,1.007,0.179,2.94,348,58,0.17,2720,214,0.08,2.46,478,847,0,1432
9.5,24.1,7.7,433,7.4,1.3,6.5,16.4,2.022,0.156,5.17,4.254,0.104,1.271,0.048,0.3,7.5,29.59,0.019,0.0182,0.0207,0.876,0.093,2.19,108,34,0.32,1569,134,0.09,2.67,229,1401,0,515
13.3,27.1,7.7,462,6.5,1.9,8.7,30.3,2.75,0.28,6.493,5.616,0.137,1.544,0.131,0.3,6.34,18.13,0.028,0.0174,0.017,1.019,0.14,2.49,79,11,0.13,2083,173,0.08,2.97,207,1668,0,597
24.4,21.9,7.2,287,7,6.7,14.4,120,4.58,0.85,7.451,6.064,0.744,2.028,0.248,0.9,4.8,11.95,0.036,0.0145,0.0144,1.003,0.182,3,80,15,0.18,2124,153,0.07,3.08,203,1848,17,711
19.7,24.5,7.1,158,6.4,4.9,15.3,230,3.81,1.25,8.68,4.891,0.237,1.656,0.352,0.6,3.72,8.28,0.051,0.0116,0.0127,0.913,0.254,5.2,67,20,0.3,1869,169,0.09,3.92,269,1687,11,500
6.4,23.5,7.1,155,6.9,3,10.2,126,7.01,1.25,6.153,4.428,0.233,2.052,0.254,0.5,3.9,9.21,0.042,0.012,0.0133,0.903,0.21,4.74,108,15,0.14,1875,154,0.08,3.65,223,1163,12,410
7.8,26.2,7.3,388,7.6,1.5,6.4,22,6.64,0.21,5.041,4.253,0.165,4.684,0.177,0.3,7.86,33.51,0.022,0.0162,0.0215,0.754,0.109,2.56,46,12,0.25,1438,102,0.07,3.42,198,1165,7,429
19.9,29.2,7.4,376,8.1,1.3,5.8,24,3.939,0.231,4.931,3.938,0.073,2.93,0.144,0.3,4.62,9.84,0.027,0.0138,0.0128,1.074,0.135,3.43,55,4,0.08,1390,104,0.07,3.48,199,1114,2,442
18.1,26.6,7.4,421,7.1,1.8,6.2,13,5.14,0.23,4.706,4.019,0.219,4.062,0.145,0.4,6.6,21.27,0.023,0.0154,0.0185,0.832,0.113,2.81,62,10,0.17,1308,109,0.08,3.48,231,1745,31,667
10.6,23.6,7.3,289,7.4,2,7.8,51.6,4.425,0.45,4.873,4.112,0.142,3.051,0.239,0.4,5.39,16.78,0.027,0.0139,0.018,0.768,0.134,3.26,46,47,1.01,1801,177,0.1,5.44,671,1298,55,3457
12.5,23.5,7.5,407,7.6,1.5,5.1,17.5,5.91,0.215,4.182,2.904,0.131,4.298,0.126,0.4,8.49,36.31,0.019,0.0161,0.0229,0.702,0.074,2.55,36,7,0.18,1139,94,0.08,3.88,776,898,0,717
6.3,21.8,7.5,386,7.9,0.8,6,14.5,5.97,0.255,4.245,3.37,0.103,4.654,0.164,0.2,7.48,38.82,0.022,0.0148,0.0243,0.608,0.087,2.58,21,4,0.19,1375,107,0.08,4.18,781,1009,20,775
3.1,17.8,7.4,429,9.7,0.7,4.3,7.1,6.981,0.213,3.124,2.679,0.152,5.504,0.163,0.2,7.8,35.96,0.017,0.0145,0.0221,0.654,0.069,2.58,21,2,0.07,1039,89,0.09,3.99,790,910,0,619
4,15.1,7.4,437,9.6,0.9,4.3,9.4,7.281,0.156,3.074,2.949,0.194,5.824,0.097,0.3,7.45,24.47,0.014,0.013,0.0254,0.51,0.056,1.89,31,2,0.06,1007,91,0.09,3.75,790,904,0,643
4.5,14.4,7.5,425,9,1.1,4.1,7.1,6.987,0.15,3.213,2.219,0.101,5.89,0.107,0.3,4.04,6.24,0.017,0.0104,0.0098,1.061,0.068,3.07,33,7,0.21,996,89,0.09,3.75,786,926,0,632
2.7,11.9,7.5,413,10.9,0.9,4.9,7.8,5.739,0.162,3.509,3.211,0.112,4.96,0.107,0.3,5.33,14.99,0.018,0.0088,0.0178,0.494,0.071,2.22,65,9,0.14,1272,108,0.09,3.76,785,1076,11,971
1.7,7.8,7.4,437,11.6,0.8,4,5.4,8.112,0.111,2.692,2.58,0.179,6.444,0.073,0.3,4.95,10.35,0.012,0.0061,0.0144,0.426,0.046,1.8,11,7,0.65,889,54,0.06,3.33,623,722,0,571
3.3,5.3,7.5,584,11.6,8.4,6.8,7.3,8.715,0.189,3.199,3.002,0.361,6.442,0.117,2.6,6.58,18.3,0.021,0.0173,0.0161,1.078,0.082,2.73,56,12,0.21,995,63,0.06,3.28,622,861,0,1061
2.5,4.9,7.4,475,11.9,1.4,9.2,9.2,8.298,0.12,2.859,2.468,0.208,6.662,0.054,0.5,6.61,22.63,0.014,0.0133,0.0206,0.644,0.056,2.27,54,7,0.13,806,65,0.08,2.97,753,718,0,597
16.6,6.5,7.5,435,11.2,2.1,4,11.2,7.65,0.205,4.391,3.855,0.282,5.142,0.114,0.5,4.92,10.35,0.029,0.0138,0.0132,1.042,0.114,2.96,91,17,0.19,1488,101,0.07,3.56,638,1120,0,901
2.2,3.8,7.7,411,12.2,1.5,4.2,10.8,8.51,0.155,3.311,2.84,0.318,6.728,0.092,0.5,7.05,22.19,0.036,0.019,0.0188,1.01,0.071,2.52,33,6,0.18,896,89,0.1,3.8,785,821,0,690
1.9,2.4,7.6,472,13.2,0.7,3.6,7.4,8.12,0.116,2.656,2.392,0.467,6.552,0.059,0.3,5.97,15.42,0.023,0.0117,0.0154,0.758,0.045,1.88,39,7,0.18,689,54,0.08,2.98,780,694,0,527
2.2,4.1,7.5,466,12,1.8,3.9,8.1,9.27,0.135,3.859,2.653,0.771,6.614,0.073,0.5,6.61,21.43,0.023,0.0126,0.0184,0.683,0.046,1.73,51,5,0.1,765,61,0.08,2.9,757,742,0,775
5.3,4.6,7.6,551,11.8,2.2,6.2,12.6,7.885,0.18,3.857,3.471,0.789,5.972,0.09,0.6,5.57,13.24,0.037,0.0132,0.0158,0.833,0.074,2.12,130,27,0.21,1083,93,0.09,3.11,852,974,0,722
4.6,7.6,7.5,463,10.3,2.5,4.6,5.1,8.745,0.12,2.856,2.621,0.343,6.454,0.045,0.9,7.61,37.39,0.025,0.0139,0.0223,0.622,0.049,1.88,61,22,0.37,814,87,0.11,3.35,834,806,0,678
3,6.3,7.4,427,11.6,1.8,5.2,13,9.2,0.19,3.502,3.092,0.523,6.318,0.096,0.5,6.2,20.34,0.034,0.0133,0.0188,0.705,0.068,2.18,73,24,0.33,1038,81,0.08,3.95,624,978,0,761
2.5,6.5,7.5,434,11.8,1.1,4.7,7.8,9.23,0.155,3.169,2.56,0.407,6.328,0.077,0.3,4.77,11.48,0.038,0.0115,0.0144,0.803,0.075,2.93,60,7,0.13,813,54,0.07,3.67,829,796,0,656
2.4,6.9,7.5,423,12.1,1.8,4.6,8.2,7.71,0.115,3.343,2.685,0.527,5.848,0.06,0.5,5.22,14.03,0.032,0.012,0.0156,0.771,0.065,2.41,96,23,0.24,845,77,0.09,2.98,631,759,0,757
3,6.9,7.6,550,11,3.2,6,9.4,8.89,0.185,4.712,3.689,0.517,6.588,0.069,0.7,4.47,8.15,0.051,0.013,0.011,1.185,0.102,2.76,122,30,0.24,1129,98,0.09,3.35,636,1048,8,1216
